iter	TotalF1	MultiClass
0	0.7014673534	1.530537076
1	0.8006005385	1.358915718
2	0.8795834944	1.183066379
3	0.9129757257	1.052818247
4	0.9291811019	0.9582335721
5	0.9459252476	0.8733665643
6	0.9459252476	0.8016115604
7	0.9542322871	0.7285321832
8	0.9666964488	0.6759328117
9	0.9584145304	0.6287224153
10	0.9710628102	0.5743420153
11	0.9792610513	0.5324403177
12	0.9833835516	0.4893925388
13	0.9917379211	0.4492405994
14	0.9917379211	0.4112323251
15	0.9958805712	0.3856640559
16	0.9958805712	0.3570026302
17	0.9958805712	0.3363896934
18	0.9958805712	0.3123715097
19	0.9958805712	0.2895290955
20	0.9958805712	0.271112996
21	0.9958805712	0.2519103531
22	0.9958805712	0.2374414239
23	0.9958805712	0.2255854874
24	0.9958805712	0.2105246094
25	0.9958805712	0.1975345558
26	0.9958805712	0.1886515483
27	0.9958805712	0.1785797672
28	0.9958805712	0.1668083736
29	0.9958805712	0.1585239985
30	0.9958805712	0.1480508128
31	0.9958805712	0.1385399629
32	0.9958805712	0.1307467134
33	0.9958805712	0.1229633736
34	0.9958805712	0.1167077668
35	0.9958805712	0.1097777578
36	0.9958805712	0.1036488037
37	0.9958805712	0.09887683011
38	0.9958805712	0.09297972381
39	0.9958805712	0.08811939042
40	0.9958805712	0.08370772252
41	0.9958805712	0.07980631755
42	0.9958805712	0.07452197984
43	0.9958805712	0.07090098404
44	0.9958805712	0.06750472112
45	0.9958805712	0.06466213656
46	0.9958805712	0.06130045436
47	0.9958805712	0.05817611795
48	0.9958805712	0.05512291055
49	0.9958805712	0.0530472014
50	0.9958805712	0.05010294111
51	0.9958805712	0.04843588158
52	0.9958805712	0.04548455384
53	0.9958805712	0.04324586373
54	0.9958805712	0.04259019834
55	0.9958805712	0.04103369797
56	0.9958805712	0.03920572463
57	0.9958805712	0.03786825882
58	0.9958805712	0.0365240789
59	0.9958805712	0.0350422024
60	0.9958805712	0.03461159901
61	0.9958805712	0.03295225416
62	0.9958805712	0.03120884985
63	0.9958805712	0.02986656818
64	0.9958805712	0.02847788649
65	0.9958805712	0.0278062634
66	0.9958805712	0.02689113196
67	0.9958805712	0.02567903443
68	0.9958805712	0.02513447254
69	0.9958805712	0.0244496967
70	0.9958805712	0.02375580895
71	0.9958805712	0.02282569051
72	0.9958805712	0.02211949598
73	0.9958805712	0.02126298014
74	0.9958805712	0.02106830284
75	0.9958805712	0.02007964387
76	0.9958805712	0.01971676991
77	0.9958805712	0.01914637461
78	0.9958805712	0.01849005702
79	0.9958805712	0.01800704705
80	0.9958805712	0.01788997054
81	0.9958805712	0.0174969125
82	0.9958805712	0.01694390695
83	0.9958805712	0.01658428906
84	0.9958805712	0.0161230437
85	0.9958805712	0.01564682634
86	0.9958805712	0.01541024924
87	0.9958805712	0.01508199416
88	0.9958805712	0.01456751717
89	0.9958805712	0.01415258301
90	0.9958805712	0.01375393972
91	0.9958805712	0.01335853906
92	0.9958805712	0.01299899052
93	0.9958805712	0.01270888348
94	0.9958805712	0.01238575783
95	0.9958805712	0.01197483697
96	0.9958805712	0.01157326138
97	0.9958805712	0.01128981275
98	0.9958805712	0.01100840018
99	0.9958805712	0.01081410573
100	0.9958805712	0.01063639264
101	0.9958805712	0.01045024936
102	0.9958805712	0.01016188461
103	0.9958805712	0.009913857834
104	0.9958805712	0.009751094577
105	0.9958805712	0.009649447881
106	0.9958805712	0.00946686792
107	0.9958805712	0.00926311261
108	0.9958805712	0.009105105657
109	0.9958805712	0.008930771262
110	0.9958805712	0.008822400138
111	0.9958805712	0.008676808495
112	0.9958805712	0.008574053957
113	0.9958805712	0.008430235172
114	0.9958805712	0.008345570539
115	0.9958805712	0.008226962769
116	0.9958805712	0.008116021015
117	0.9958805712	0.008002883081
118	0.9958805712	0.00790385973
119	0.9958805712	0.007817375603
120	0.9958805712	0.007758982799
121	0.9958805712	0.00765116271
122	0.9958805712	0.007566377571
123	0.9958805712	0.007496099744
124	0.9958805712	0.007427676278
125	0.9958805712	0.007339688752
126	0.9958805712	0.007280703622
127	0.9958805712	0.007222017528
128	0.9958805712	0.007171408885
129	0.9958805712	0.007114369732
130	0.9958805712	0.007053314227
131	0.9958805712	0.006994029852
132	0.9958805712	0.0069630526
133	0.9958805712	0.006901667161
134	0.9958805712	0.006843901139
135	0.9958805712	0.006802682601
136	0.9958805712	0.006760422574
137	0.9958805712	0.006732451131
138	0.9958805712	0.006686043688
139	0.9958805712	0.006640265803
140	0.9958805712	0.006603849224
141	0.9958805712	0.006571201019
142	0.9958805712	0.006534798538
143	0.9958805712	0.006497745301
144	0.9958805712	0.006461291085
145	0.9958805712	0.006436471105
146	0.9958805712	0.006399074102
147	0.9958805712	0.006362487986
148	0.9958805712	0.006335518264
149	0.9958805712	0.006313939837
150	0.9958805712	0.006285643172
151	0.9958805712	0.006266072912
152	0.9958805712	0.006238851196
153	0.9958805712	0.006220498974
154	0.9958805712	0.006200719894
155	0.9958805712	0.006179460999
156	0.9958805712	0.006155053516
157	0.9958805712	0.006135226297
158	0.9958805712	0.006115311068
159	0.9958805712	0.006100581524
160	0.9958805712	0.006092232141
161	0.9958805712	0.006074667358
162	0.9958805712	0.006063403891
163	0.9958805712	0.006049843888
164	0.9958805712	0.00603396173
165	0.9958805712	0.006018263646
166	0.9958805712	0.006007591207
167	0.9958805712	0.00599209653
168	0.9958805712	0.005985943176
169	0.9958805712	0.005976363324
170	0.9958805712	0.00596596134
171	0.9958805712	0.005953894071
172	0.9958805712	0.005942798589
173	0.9958805712	0.005932562398
174	0.9958805712	0.005922457494
175	0.9958805712	0.00591379083
176	0.9958805712	0.005906374133
177	0.9958805712	0.005899331444
178	0.9958805712	0.005893123766
179	0.9958805712	0.00588530228
180	0.9958805712	0.005877807533
181	0.9958805712	0.005870523471
182	0.9958805712	0.005862457237
183	0.9958805712	0.005857380153
184	0.9958805712	0.005851091954
185	0.9958805712	0.005843986803
186	0.9958805712	0.005839097826
187	0.9958805712	0.005835556034
188	0.9958805712	0.005829204549
189	0.9958805712	0.005824887578
190	0.9958805712	0.00582100787
191	0.9958805712	0.005817592457
192	0.9958805712	0.005813360207
193	0.9958805712	0.005809977287
194	0.9958805712	0.005807267928
195	0.9958805712	0.005803602072
196	0.9958805712	0.005800402922
197	0.9958805712	0.005796306144
198	0.9958805712	0.005793170309
199	0.9958805712	0.00578929451
